product_id,title,price,rating
94339971,Christmas Featherly Friends &#34;Kelkï»¿ka&#34; Decor Star Headband - Wondershop&#8482;,5,5
1006589524,"6 Pieces Christmas Decorations with LED Light, Holiday Decoration, Including 2 Garland, 1 Wreaths, 2 Swags, Christmas Decor Set for Front Doors",99.99,2
90516952,3pc Lit Ceramic Buildings Decorative Christmas Figurine Set - Wondershop&#8482; White,15,3.69
94339949,Christmas Featherly Friends &#34;Dash&#34; Decor Baking Chef - Wondershop&#8482;,5,2.62
94339968,4.25&#34; 3pk Christmas Featherly Friends Decor Cocoa and Candy Cane - Wondershop&#8482;,15,2
94339938,10&#34; Christmas Fabric Tree Decor Green - Wondershop&#8482;,6,5
94339926,4.25&#34; 3pk Christmas Featherly Friends Decor White - Wondershop&#8482;,15,2.62
94339946,Christmas Featherly Friends Hot Cocoa Stand Decor - Wondershop&#8482;,15,3.67
94340045,20&#34; Christmas Single Bow Decor Red - Wondershop&#8482;,15,2.62
90516953,"3pc Lit Metal House Decorative Christmas Figurine Set - Wondershop&#8482; Black: Tabletop Indoor Decor, Battery-Powered",15,4.38
94340238,Christmas Lit Blow Mold Gingerbread House Decor - Wondershop&#8482;,20,3
94345205,Christmas Lit Blow Mold Gingerbread Man Decor - Wondershop&#8482;,20,2
1006077663,"Whisen 12.2x6.3x10.5"" Velvet Foam Sitting Deer, Christmas Decoration - Multicolor",83.99,2.5
75472553,"Sunnydaze Polyresin Matthias the Nutcracker Prince Christmas Holiday Decoration - 37"" - 1 Nutcracker",179,2.62
94339944,Christmas Ceramic Standing Pink Deer Decor - Wondershop&#8482;,15,3
1006110278,"Whisen D2.6x7.7"" Wooden Tree Table Decor, 2 Pack, Christmas Decoration - Natural Wood",72.99,4.5
1000999762,"Season's Designs 4ft White Birch Branch Tree with Stand Indoor Christmas Decoration, Plastic Green with , Ground Freestanding, Plug-In",63.99,4.8
94345211,Christmas Lit Blow Mold Tree Decor - Wondershop&#8482;,20,5
88659623,Northlight LED Lighted Hanging Ornaments Outdoor Christmas Decoration - Set of 3,322.99,4.1
94340201,Christmas Fabric Gingerbread Man Decor - Wondershop&#8482;,15,2.62
1006279837,"Whisen Set of 6, D12"" Boxwood Candle Ring, Christmas Decoration - Champagne",104.99,2.62
1006636830,"6 Pieces Christmas Decorations with LED Light, Holiday Decoration, Including 2 Garland, 1 Wreaths, 2 Swags, Christmas Decor Set for Front Doors",120.92,3.7
94340058,8pk Christmas Poly Animals/Trees/People Decor Set Gold - Wondershop&#8482;,15,3.17
94340259,Christmas Metal Red Postbox Decor - Wondershop&#8482;,20,4
94340017,10.75&#34; Christmas Tinsel Multicolor Tree D&#233;cor - Wondershop&#8482;,6,5
94340191,Christmas Featherly Friends &#34;Trineo&#34; Decor Sticks - Wondershop&#8482;,5,2.62
94339945,Christmas Fabric Mouse Figural Decor - Wondershop&#8482;,15,5
94340054,8pk Christmas Poly Figural Decor Set Birds/Bunny/Trees Gold - Wondershop&#8482;,15,2.58
94340153,3ct Christmas Ceramic Deer Decor Set White- Wondershop&#8482;,15,3.5
94340235,Christmas Lit Metal Church Decor Champagne Gold - Wondershop&#8482;,15,4
94339973,Christmas Ceramic Sitting Deer D&#233;cor Pink - Wondershop&#8482;,15,4
